우선순위,입주예정월,단지명,총공급세대,공급위치,시행_시공사,추천상품,입예협_검색어
99,2026.01,두산위브더제니스 오션시티,2033,부산광역시 남구 우암동 129번지 일원,우암2구역주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",두산위브더제니스 오션시티 입주예정자협의회
99,2026.01,울산다운2지구 B-2BL 우미린(사전청약),1293,울산광역시 울주군 범서읍 서사리 305일원(울산다운2지구 B-2BL),(주)우미개발,"얼음정수기, 비데, 공기청정기, 식세기",울산다운2지구 B-2BL 우미린(사전청약) 입주예정자협의회
99,2026.01,더샵 청주그리니티,1191,충청북도 청주시 서원구 개신동 산104-6번지 일원,(주)하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",더샵 청주그리니티 입주예정자협의회
99,2026.01,e편한세상 명덕역 퍼스트마크,1112,대구광역시 남구 대명동 2017-2번지 일원,대명2동명덕지구주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",e편한세상 명덕역 퍼스트마크 입주예정자협의회
99,2026.01,위파크 마륵공원,917,광주광역시 서구 금호동 산109번지 일원,마륵파크 주식회사,"얼음정수기, 비데, 공기청정기, 식세기",위파크 마륵공원 입주예정자협의회
99,2026.01,아야진 라메르 데시앙,811,강원도 고성군 토성면 아야진리 산21번지 외 44필지,(주)무궁화신탁,"얼음정수기, 비데, 공기청정기, 식세기",아야진 라메르 데시앙 입주예정자협의회
99,2026.01,청주 동일하이빌 파크레인,800,충청북도 청주시 서원구 개신동 70-10번지 일원(청주개신2지구 도시개발사업A2블럭),주식회사 하나자산신탁,"얼음정수기, 비데, 공기청정기, 식세기",청주 동일하이빌 파크레인 입주예정자협의회
99,2026.01,인천 두산위브 더센트럴,785,인천광역시 동구 송림동 42-215,송림3지구 주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",인천 두산위브 더센트럴 입주예정자협의회
99,2026.01,가야역 롯데캐슬 스카이엘,725,부산광역시 부산진구 가야동 3-11번지 일원,신한자산신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",가야역 롯데캐슬 스카이엘 입주예정자협의회
99,2026.01,어나드 범어,604,대구광역시 수성구 범어동 1,대구엠비씨부지복합개발피에프브이(주),"얼음정수기, 비데, 공기청정기, 식세기",어나드 범어 입주예정자협의회
99,2026.01,수원성 중흥S-클래스,593,경기도 수원시 팔달구 지동 349-1번지 일원,제115다시10구역주택재개발정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",수원성 중흥S-클래스 입주예정자협의회
99,2026.01,양주 회천지구 A-12BL 라온프라이빗(사전청약),568,경기도 양주시 양주회천지구 A12BL,에버캄도시개발주식회사,"얼음정수기, 비데, 공기청정기, 식세기",양주 회천지구 A-12BL 라온프라이빗(사전청약) 입주예정자협의회
90,2026.01,철산자이 브리에르,393,경기도 광명시 철산동 105번지 일원,철산주공10과11단지 주택재건축정비사업조합,"얼음정수기, 비데, 공기청정기, 식세기",철산자이 브리에르 입주예정자협의회
90,2026.01,김해 삼계 동일스위트,299,경상남도 김해시 삼계동 397-1번지 일원,(주)동일,"얼음정수기, 비데, 공기청정기, 식세기",김해 삼계 동일스위트 입주예정자협의회
90,2026.01,아산 벨코어 스위첸,299,충청남도 아산시 모종동 555-1외,대한토지신탁(주),"얼음정수기, 비데, 공기청정기, 식세기",아산 벨코어 스위첸 입주예정자협의회
