ID,구분,단지/커뮤니티명,입주_공급시기,규모_세대수,우선순위,접촉상태,주요타겟제품,커뮤니티_URL,타겟대상
MKT-001,웨딩,구미맘/웨딩 혼수,상시,165554,100,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/gumimom7,예비부부 / 신혼부부
MKT-002,신축입주,힐스테이트 메디알레 입예협,상시,2361372,98,미접촉,"정수기, 공기청정기, 비데, 파우셋",https://cafe.naver.com/jaegebal,신축 입주 예정자
MKT-003,신축입주,더샵 송도 그란테르(G5) 입예협,상시,91258,98,미접촉,"정수기, 공기청정기, 비데, 파우셋",https://cafe.naver.com/allthatsongdo,신축 입주 예정자
MKT-004,신축입주,안양자이 헤리티온 입예협,상시,298662,98,미접촉,"정수기, 공기청정기, 비데, 파우셋",https://cafe.naver.com/anyangtalk,신축 입주 예정자
MKT-005,신축입주,충주/청주 아파트 옵션계약 입예협,상시,131731,98,미접촉,"정수기, 공기청정기, 비데, 파우셋",https://cafe.naver.com/cjcjmom,신축 입주 예정자
MKT-006,웨딩,다이렉트결혼준비 북,상시,109664,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/b00k2012,예비부부 / 신혼부부
MKT-007,웨딩,멕마웨(마이메이크웨딩),상시,237668,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/makemywedding,예비부부 / 신혼부부
MKT-008,웨딩,결혼준비 순서 흐름,상시,150652,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/poohstory,예비부부 / 신혼부부
MKT-009,웨딩,마산맘 혼수체크,상시,428563,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/masanmam,예비부부 / 신혼부부
MKT-010,웨딩,예신모임 아이로이드,상시,833907,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/iroid,예비부부 / 신혼부부
MKT-011,웨딩,웨딩 예신다이어트 무브,상시,503471,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/move79,예비부부 / 신혼부부
MKT-012,웨딩,페코 예신관리,상시,2291941,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/feko,예비부부 / 신혼부부
MKT-013,웨딩,갓피플웨딩,상시,19332,95,미접촉,"얼음정수기, 매트리스, 안마의자",https://cafe.naver.com/godpeoplewed,예비부부 / 신혼부부
MKT-037,1인가구,선바 1인가구 자취,상시,60446,75,미접촉,"소형 정수기, 공기청정기",https://cafe.naver.com/sunbaaa,1인 가구 / 자취생
MKT-039,1인가구,kig 자취방,상시,3078757,75,미접촉,"소형 정수기, 공기청정기",https://cafe.naver.com/kig,1인 가구 / 자취생
MKT-041,1인가구,레몬테라스 원룸/오피스텔,상시,3012873,75,미접촉,"소형 정수기, 공기청정기",https://cafe.naver.com/remonterrace,1인 가구 / 자취생
MKT-050,자영업,일본창업/매장운영,상시,2330427,70,미접촉,"대용량 정수기, 비데, 공기청정기",https://cafe.naver.com/jpnstory,소상공인 / 매장 운영
MKT-052,자영업,아프니까 사장이다 소상공인,상시,109586,70,미접촉,"대용량 정수기, 비데, 공기청정기",https://cafe.naver.com/tsoul7,소상공인 / 카페·식당
MKT-056,자영업,바맨 카페창업인테리어,상시,254787,70,미접촉,"대용량 정수기, 제빙기, 공청기",https://cafe.naver.com/barman,카페 창업자
MKT-071,2026신축입주,두산위브더제니스 오션시티,2026.01,2033세대,99,미접촉,"얼음정수기, 비데, 공기청정기, 식세기",https://search.naver.com/search.naver?query=두산위브더제니스 오션시티 입주예정자협의회,신축 입주 예정자 (부산광역시 남구 우암동 129번지 일원)
